Column1,Column2,Column3,Column4,Column5,Country,Column6
Project Controls / Cost Assistant,WorleyParsons,Aberdeen,45-50,"WorleyParsons are currently recruiting a Project Controls / Cost Assistant to join our team based within Aberdeen City Centre for an initial duration of 5 months.
Role
To assist and support the Cost team in delivering accurate and timely cost information to the Client
Gain an in-depth knowledge of the cost function through providing support to all key cost deliverables
Progress to an independent cost engineer role
Gain an understanding of all the Project Controls functions and work toward moving into an an independent cost engineer role
Gain a high-level understanding of Engineering and Construction processes and terminology
Responsibilities
Assisting in the preparation and delivery of all Client cost reporting requirements;
o Value of Work Done
o Forecast analysis
o Budget analysis
o Earned Value analysis
Review all estimates and changes prior to submission to the Client and ensure that the cost report is updated with the latest budget information
Maintain and update the EcoSys structure within the agreed parameters and GBS structure
Person Spec
Experience
Essential:
Understanding of Project Controls and Cost Engineering disciplines
Proficient in Microsoft Office
Desirable:
HNC/HND
Previous Oil and Gas experience
Previous Cost Engineering experience in any industry
Competencies
Able to analyse data
Ability to work to deadlines
Ability to work with and communicate with people",UK,/rc/clk?jk=4cd4eeb8578a6a8e&fccid=744fef6eda007429&vjs=3
Project Controls Admin – Temp,Stork,Aberdeen,45-50,"TemporaryPROJECT CONTROLS ADMIN – TEMP
JOB DESCRIPTION
Job Description For Project Controls Administrator

To assist in the deliver key project variables related to all aspects of Project Controls. Ensuring that the project controls department leads and supports the corporate business objectives in line with company standards.

Tasks And Responsibilities As Project Controls Administrator

Commercial:

Assist with the administration of contract cost estimates, purchase orders and requisitions.
Financial:

Initiate invoicing of customers in line with commercial and contractual arrangements
Assist the Project Lead to ensure that sales invoices are settled in line with contractual arrangements.
Communication, Interfacing & Supevision:

Effectively communicate and build relationships with other relevant departments to raise commercial awareness.
Lead by example.
Process & Procedures

Ensuring all work carried out within the business unit is in accordance with Company HSEQ procedures.
Participate in the review of existing departmental procedures and delivering where necessary new proposals.
JOB REQUIREMENTS
Requirements For Project Controls Administrator

At Stork we attach great value to the key competences of our employees. We expect you always give safety the highest priority and that you are strongly working together with others. You are a specialist in your area of expertise and you have a proactive and entrepreneurial attitude.

Specific Requirements For Project Controls Administrator

Education & Experience

Experience in related position is preferrable.


WORKING CONDITIONS
Stork is a dynamic, international and rapidly growing organization. We offer a highly competitive salary and an extensive package of fringe benefits. Next to this we attach great value to personal development of our employees and therefore offer a wide range of education programs and have a strong focus on accompaniment and knowledge sharing and transfer.

Location: Dyce, Aberdeen
Hours: 37.5 hours per week
Contract: Temp until 03/05/2019


COMPANY INFORMATION
Stork, a Fluor company, is an expert provider of maintenance, modification and asset integrity services to the global oil and gas, chemicals and process, metals and mining, power, and manufacturing industries. We are dedicated to improving asset performance, safety and cost efficiency for our Clients throughout the complete asset life cycle.

With a team of 19,000 employees in over 100 countries, we serve more than 4,000 Clients across 6 continents.

Stork is dedicated to reducing risk, assuring safety and reducing environment impact through our award-winning value driven HSEQ platform; REACH Beyond Zero. Whilst safety will always remain our core value, the platform not only communicates on Safety but also on Health, Environmental and Quality issues too. We are committed to our transparent, employee-led approach to HSEQ.

Our culture and people:
As a knowledge-based integrity management company our people are our greatest asset. Our culture and shared values underpins everything we do. By caring for the development of our people, who are proud to contribute to Stork’s high performance culture, we provide a positive, dynamic and supportive working environment. In turn, this aids in the enhancement of our employees’ personal development as well as career opportunities and advancement. As part of our team we will strive to help you achieve your greatest potential.


CONTACT
Are you the person we're looking for? We're looking forward to receiving your CV and motivation letter. For more information please contact the recruiter on Careers@stork.com

JOB DESCRIPTION
Job Description For Project Controls Administrator

To assist in the deliver key project variables related to all aspects of Project Controls. Ensuring that the project controls department leads and supports the corporate business objectives in line with company standards.

Tasks And Responsibilities As Project Controls Administrator

Commercial:

Assist with the administration of contract cost estimates, purchase orders and requisitions.
Financial:

Initiate invoicing of customers in line with commercial and contractual arrangements
Assist the Project Lead to ensure that sales invoices are settled in line with contractual arrangements.
Communication, Interfacing & Supevision:

Effectively communicate and build relationships with other relevant departments to raise commercial awareness.
Lead by example.
Process & Procedures

Ensuring all work carried out within the business unit is in accordance with Company HSEQ procedures.
Participate in the review of existing departmental procedures and delivering where necessary new proposals.
JOB REQUIREMENTS
Requirements For Project Controls Administrator

At Stork we attach great value to the key competences of our employees. We expect you always give safety the highest priority and that you are strongly working together with others. You are a specialist in your area of expertise and you have a proactive and entrepreneurial attitude.

Specific Requirements For Project Controls Administrator

Education & Experience

Experience in related position is preferrable.


WORKING CONDITIONS
Stork is a dynamic, international and rapidly growing organization.",UK,/rc/clk?jk=6ebe12fa99ada583&fccid=8b5a5b40a8538d2e&vjs=3
Project Controls / Cost Assistant,WorleyParsons,Aberdeen,45-50,"AberdeenWorleyParsons are currently recruiting a Project Controls / Cost Assistant to join our team based within Aberdeen City Centre for an initial duration of 5 months.
Role
To assist and support the Cost team in delivering accurate and timely cost information to the Client
Gain an in-depth knowledge of the cost function through providing support to all key cost deliverables
Progress to an independent cost engineer role
Gain an understanding of all the Project Controls functions and work toward moving into an an independent cost engineer role
Gain a high-level understanding of Engineering and Construction processes and terminology
Responsibilities
Assisting in the preparation and delivery of all Client cost reporting requirements;
o Value of Work Done
o Forecast analysis
o Budget analysis
o Earned Value analysis
Review all estimates and changes prior to submission to the Client and ensure that the cost report is updated with the latest budget information
Maintain and update the EcoSys structure within the agreed parameters and GBS structure
Person Spec
Experience
Essential:
Understanding of Project Controls and Cost Engineering disciplines
Proficient in Microsoft Office
Desirable:
HNC/HND
Previous Oil and Gas experience
Previous Cost Engineering experience in any industry
Competencies
Able to analyse data
Ability to work to deadlines
Ability to work with and communicate with people",UK,/rc/clk?jk=4cd4eeb8578a6a8e&fccid=744fef6eda007429&vjs=3
Project Controls Admin – Temp,Stork,Aberdeen,45-50,"TemporaryPROJECT CONTROLS ADMIN – TEMP
JOB DESCRIPTION
Job Description For Project Controls Administrator

To assist in the deliver key project variables related to all aspects of Project Controls. Ensuring that the project controls department leads and supports the corporate business objectives in line with company standards.

Tasks And Responsibilities As Project Controls Administrator

Commercial:

Assist with the administration of contract cost estimates, purchase orders and requisitions.
Financial:

Initiate invoicing of customers in line with commercial and contractual arrangements
Assist the Project Lead to ensure that sales invoices are settled in line with contractual arrangements.
Communication, Interfacing & Supevision:

Effectively communicate and build relationships with other relevant departments to raise commercial awareness.
Lead by example.
Process & Procedures

Ensuring all work carried out within the business unit is in accordance with Company HSEQ procedures.
Participate in the review of existing departmental procedures and delivering where necessary new proposals.
JOB REQUIREMENTS
Requirements For Project Controls Administrator

At Stork we attach great value to the key competences of our employees. We expect you always give safety the highest priority and that you are strongly working together with others. You are a specialist in your area of expertise and you have a proactive and entrepreneurial attitude.

Specific Requirements For Project Controls Administrator

Education & Experience

Experience in related position is preferrable.


WORKING CONDITIONS
Stork is a dynamic, international and rapidly growing organization. We offer a highly competitive salary and an extensive package of fringe benefits. Next to this we attach great value to personal development of our employees and therefore offer a wide range of education programs and have a strong focus on accompaniment and knowledge sharing and transfer.

Location: Dyce, Aberdeen
Hours: 37.5 hours per week
Contract: Temp until 03/05/2019


COMPANY INFORMATION
Stork, a Fluor company, is an expert provider of maintenance, modification and asset integrity services to the global oil and gas, chemicals and process, metals and mining, power, and manufacturing industries. We are dedicated to improving asset performance, safety and cost efficiency for our Clients throughout the complete asset life cycle.

With a team of 19,000 employees in over 100 countries, we serve more than 4,000 Clients across 6 continents.

Stork is dedicated to reducing risk, assuring safety and reducing environment impact through our award-winning value driven HSEQ platform; REACH Beyond Zero. Whilst safety will always remain our core value, the platform not only communicates on Safety but also on Health, Environmental and Quality issues too. We are committed to our transparent, employee-led approach to HSEQ.

Our culture and people:
As a knowledge-based integrity management company our people are our greatest asset. Our culture and shared values underpins everything we do. By caring for the development of our people, who are proud to contribute to Stork’s high performance culture, we provide a positive, dynamic and supportive working environment. In turn, this aids in the enhancement of our employees’ personal development as well as career opportunities and advancement. As part of our team we will strive to help you achieve your greatest potential.


CONTACT
Are you the person we're looking for? We're looking forward to receiving your CV and motivation letter. For more information please contact the recruiter on Careers@stork.com

JOB DESCRIPTION
Job Description For Project Controls Administrator

To assist in the deliver key project variables related to all aspects of Project Controls. Ensuring that the project controls department leads and supports the corporate business objectives in line with company standards.

Tasks And Responsibilities As Project Controls Administrator

Commercial:

Assist with the administration of contract cost estimates, purchase orders and requisitions.
Financial:

Initiate invoicing of customers in line with commercial and contractual arrangements
Assist the Project Lead to ensure that sales invoices are settled in line with contractual arrangements.
Communication, Interfacing & Supevision:

Effectively communicate and build relationships with other relevant departments to raise commercial awareness.
Lead by example.
Process & Procedures

Ensuring all work carried out within the business unit is in accordance with Company HSEQ procedures.
Participate in the review of existing departmental procedures and delivering where necessary new proposals.
JOB REQUIREMENTS
Requirements For Project Controls Administrator

At Stork we attach great value to the key competences of our employees. We expect you always give safety the highest priority and that you are strongly working together with others. You are a specialist in your area of expertise and you have a proactive and entrepreneurial attitude.

Specific Requirements For Project Controls Administrator

Education & Experience

Experience in related position is preferrable.


WORKING CONDITIONS
Stork is a dynamic, international and rapidly growing organization.",UK,/rc/clk?jk=6ebe12fa99ada583&fccid=8b5a5b40a8538d2e&vjs=3
Project Controls / Cost Assistant,WorleyParsons,Aberdeen,45-50,"WorleyParsons are currently recruiting a Project Controls / Cost Assistant to join our team based within Aberdeen City Centre for an initial duration of 5 months.
Role
To assist and support the Cost team in delivering accurate and timely cost information to the Client
Gain an in-depth knowledge of the cost function through providing support to all key cost deliverables
Progress to an independent cost engineer role
Gain an understanding of all the Project Controls functions and work toward moving into an an independent cost engineer role
Gain a high-level understanding of Engineering and Construction processes and terminology
Responsibilities
Assisting in the preparation and delivery of all Client cost reporting requirements;
o Value of Work Done
o Forecast analysis
o Budget analysis
o Earned Value analysis
Review all estimates and changes prior to submission to the Client and ensure that the cost report is updated with the latest budget information
Maintain and update the EcoSys structure within the agreed parameters and GBS structure
Person Spec
Experience
Essential:
Understanding of Project Controls and Cost Engineering disciplines
Proficient in Microsoft Office
Desirable:
HNC/HND
Previous Oil and Gas experience
Previous Cost Engineering experience in any industry
Competencies
Able to analyse data
Ability to work to deadlines
Ability to work with and communicate with people",UK,/rc/clk?jk=4cd4eeb8578a6a8e&fccid=744fef6eda007429&vjs=3
Project Controls Admin – Temp,Stork,Aberdeen,45-50,"TemporaryPROJECT CONTROLS ADMIN – TEMP
JOB DESCRIPTION
Job Description For Project Controls Administrator

To assist in the deliver key project variables related to all aspects of Project Controls. Ensuring that the project controls department leads and supports the corporate business objectives in line with company standards.

Tasks And Responsibilities As Project Controls Administrator

Commercial:

Assist with the administration of contract cost estimates, purchase orders and requisitions.
Financial:

Initiate invoicing of customers in line with commercial and contractual arrangements
Assist the Project Lead to ensure that sales invoices are settled in line with contractual arrangements.
Communication, Interfacing & Supevision:

Effectively communicate and build relationships with other relevant departments to raise commercial awareness.
Lead by example.
Process & Procedures

Ensuring all work carried out within the business unit is in accordance with Company HSEQ procedures.
Participate in the review of existing departmental procedures and delivering where necessary new proposals.
JOB REQUIREMENTS
Requirements For Project Controls Administrator

At Stork we attach great value to the key competences of our employees. We expect you always give safety the highest priority and that you are strongly working together with others. You are a specialist in your area of expertise and you have a proactive and entrepreneurial attitude.

Specific Requirements For Project Controls Administrator

Education & Experience

Experience in related position is preferrable.


WORKING CONDITIONS
Stork is a dynamic, international and rapidly growing organization. We offer a highly competitive salary and an extensive package of fringe benefits. Next to this we attach great value to personal development of our employees and therefore offer a wide range of education programs and have a strong focus on accompaniment and knowledge sharing and transfer.

Location: Dyce, Aberdeen
Hours: 37.5 hours per week
Contract: Temp until 03/05/2019


COMPANY INFORMATION
Stork, a Fluor company, is an expert provider of maintenance, modification and asset integrity services to the global oil and gas, chemicals and process, metals and mining, power, and manufacturing industries. We are dedicated to improving asset performance, safety and cost efficiency for our Clients throughout the complete asset life cycle.

With a team of 19,000 employees in over 100 countries, we serve more than 4,000 Clients across 6 continents.

Stork is dedicated to reducing risk, assuring safety and reducing environment impact through our award-winning value driven HSEQ platform; REACH Beyond Zero. Whilst safety will always remain our core value, the platform not only communicates on Safety but also on Health, Environmental and Quality issues too. We are committed to our transparent, employee-led approach to HSEQ.

Our culture and people:
As a knowledge-based integrity management company our people are our greatest asset. Our culture and shared values underpins everything we do. By caring for the development of our people, who are proud to contribute to Stork’s high performance culture, we provide a positive, dynamic and supportive working environment. In turn, this aids in the enhancement of our employees’ personal development as well as career opportunities and advancement. As part of our team we will strive to help you achieve your greatest potential.


CONTACT
Are you the person we're looking for? We're looking forward to receiving your CV and motivation letter. For more information please contact the recruiter on Careers@stork.com

JOB DESCRIPTION
Job Description For Project Controls Administrator

To assist in the deliver key project variables related to all aspects of Project Controls. Ensuring that the project controls department leads and supports the corporate business objectives in line with company standards.

Tasks And Responsibilities As Project Controls Administrator

Commercial:

Assist with the administration of contract cost estimates, purchase orders and requisitions.
Financial:

Initiate invoicing of customers in line with commercial and contractual arrangements
Assist the Project Lead to ensure that sales invoices are settled in line with contractual arrangements.
Communication, Interfacing & Supevision:

Effectively communicate and build relationships with other relevant departments to raise commercial awareness.
Lead by example.
Process & Procedures

Ensuring all work carried out within the business unit is in accordance with Company HSEQ procedures.
Participate in the review of existing departmental procedures and delivering where necessary new proposals.
JOB REQUIREMENTS
Requirements For Project Controls Administrator

At Stork we attach great value to the key competences of our employees. We expect you always give safety the highest priority and that you are strongly working together with others. You are a specialist in your area of expertise and you have a proactive and entrepreneurial attitude.

Specific Requirements For Project Controls Administrator

Education & Experience

Experience in related position is preferrable.


WORKING CONDITIONS
Stork is a dynamic, international and rapidly growing organization.",UK,/rc/clk?jk=6ebe12fa99ada583&fccid=8b5a5b40a8538d2e&vjs=3
Project Controls / Cost Assistant,WorleyParsons,Aberdeen,45-50,"WorleyParsons are currently recruiting a Project Controls / Cost Assistant to join our team based within Aberdeen City Centre for an initial duration of 5 months.
Role
To assist and support the Cost team in delivering accurate and timely cost information to the Client
Gain an in-depth knowledge of the cost function through providing support to all key cost deliverables
Progress to an independent cost engineer role
Gain an understanding of all the Project Controls functions and work toward moving into an an independent cost engineer role
Gain a high-level understanding of Engineering and Construction processes and terminology
Responsibilities
Assisting in the preparation and delivery of all Client cost reporting requirements;
o Value of Work Done
o Forecast analysis
o Budget analysis
o Earned Value analysis
Review all estimates and changes prior to submission to the Client and ensure that the cost report is updated with the latest budget information
Maintain and update the EcoSys structure within the agreed parameters and GBS structure
Person Spec
Experience
Essential:
Understanding of Project Controls and Cost Engineering disciplines
Proficient in Microsoft Office
Desirable:
HNC/HND
Previous Oil and Gas experience
Previous Cost Engineering experience in any industry
Competencies
Able to analyse data
Ability to work to deadlines
Ability to work with and communicate with people",UK,/rc/clk?jk=4cd4eeb8578a6a8e&fccid=744fef6eda007429&vjs=3
Project Controls Admin – Temp,Stork,Aberdeen,45-50,"TemporaryPROJECT CONTROLS ADMIN – TEMP
JOB DESCRIPTION
Job Description For Project Controls Administrator

To assist in the deliver key project variables related to all aspects of Project Controls. Ensuring that the project controls department leads and supports the corporate business objectives in line with company standards.

Tasks And Responsibilities As Project Controls Administrator

Commercial:

Assist with the administration of contract cost estimates, purchase orders and requisitions.
Financial:

Initiate invoicing of customers in line with commercial and contractual arrangements
Assist the Project Lead to ensure that sales invoices are settled in line with contractual arrangements.
Communication, Interfacing & Supevision:

Effectively communicate and build relationships with other relevant departments to raise commercial awareness.
Lead by example.
Process & Procedures

Ensuring all work carried out within the business unit is in accordance with Company HSEQ procedures.
Participate in the review of existing departmental procedures and delivering where necessary new proposals.
JOB REQUIREMENTS
Requirements For Project Controls Administrator

At Stork we attach great value to the key competences of our employees. We expect you always give safety the highest priority and that you are strongly working together with others. You are a specialist in your area of expertise and you have a proactive and entrepreneurial attitude.

Specific Requirements For Project Controls Administrator

Education & Experience

Experience in related position is preferrable.


WORKING CONDITIONS
Stork is a dynamic, international and rapidly growing organization. We offer a highly competitive salary and an extensive package of fringe benefits. Next to this we attach great value to personal development of our employees and therefore offer a wide range of education programs and have a strong focus on accompaniment and knowledge sharing and transfer.

Location: Dyce, Aberdeen
Hours: 37.5 hours per week
Contract: Temp until 03/05/2019


COMPANY INFORMATION
Stork, a Fluor company, is an expert provider of maintenance, modification and asset integrity services to the global oil and gas, chemicals and process, metals and mining, power, and manufacturing industries. We are dedicated to improving asset performance, safety and cost efficiency for our Clients throughout the complete asset life cycle.

With a team of 19,000 employees in over 100 countries, we serve more than 4,000 Clients across 6 continents.

Stork is dedicated to reducing risk, assuring safety and reducing environment impact through our award-winning value driven HSEQ platform; REACH Beyond Zero. Whilst safety will always remain our core value, the platform not only communicates on Safety but also on Health, Environmental and Quality issues too. We are committed to our transparent, employee-led approach to HSEQ.

Our culture and people:
As a knowledge-based integrity management company our people are our greatest asset. Our culture and shared values underpins everything we do. By caring for the development of our people, who are proud to contribute to Stork’s high performance culture, we provide a positive, dynamic and supportive working environment. In turn, this aids in the enhancement of our employees’ personal development as well as career opportunities and advancement. As part of our team we will strive to help you achieve your greatest potential.


CONTACT
Are you the person we're looking for? We're looking forward to receiving your CV and motivation letter. For more information please contact the recruiter on Careers@stork.com

JOB DESCRIPTION
Job Description For Project Controls Administrator

To assist in the deliver key project variables related to all aspects of Project Controls. Ensuring that the project controls department leads and supports the corporate business objectives in line with company standards.

Tasks And Responsibilities As Project Controls Administrator

Commercial:

Assist with the administration of contract cost estimates, purchase orders and requisitions.
Financial:

Initiate invoicing of customers in line with commercial and contractual arrangements
Assist the Project Lead to ensure that sales invoices are settled in line with contractual arrangements.
Communication, Interfacing & Supevision:

Effectively communicate and build relationships with other relevant departments to raise commercial awareness.
Lead by example.
Process & Procedures

Ensuring all work carried out within the business unit is in accordance with Company HSEQ procedures.
Participate in the review of existing departmental procedures and delivering where necessary new proposals.
JOB REQUIREMENTS
Requirements For Project Controls Administrator

At Stork we attach great value to the key competences of our employees. We expect you always give safety the highest priority and that you are strongly working together with others. You are a specialist in your area of expertise and you have a proactive and entrepreneurial attitude.

Specific Requirements For Project Controls Administrator

Education & Experience

Experience in related position is preferrable.


WORKING CONDITIONS
Stork is a dynamic, international and rapidly growing organization.",UK,/rc/clk?jk=6ebe12fa99ada583&fccid=8b5a5b40a8538d2e&vjs=3
Project Controls / Cost Assistant,WorleyParsons,Aberdeen,45-50,"WorleyParsons are currently recruiting a Project Controls / Cost Assistant to join our team based within Aberdeen City Centre for an initial duration of 5 months.
Role
To assist and support the Cost team in delivering accurate and timely cost information to the Client
Gain an in-depth knowledge of the cost function through providing support to all key cost deliverables
Progress to an independent cost engineer role
Gain an understanding of all the Project Controls functions and work toward moving into an an independent cost engineer role
Gain a high-level understanding of Engineering and Construction processes and terminology
Responsibilities
Assisting in the preparation and delivery of all Client cost reporting requirements;
o Value of Work Done
o Forecast analysis
o Budget analysis
o Earned Value analysis
Review all estimates and changes prior to submission to the Client and ensure that the cost report is updated with the latest budget information
Maintain and update the EcoSys structure within the agreed parameters and GBS structure
Person Spec
Experience
Essential:
Understanding of Project Controls and Cost Engineering disciplines
Proficient in Microsoft Office
Desirable:
HNC/HND
Previous Oil and Gas experience
Previous Cost Engineering experience in any industry
Competencies
Able to analyse data
Ability to work to deadlines
Ability to work with and communicate with people",UK,/rc/clk?jk=4cd4eeb8578a6a8e&fccid=744fef6eda007429&vjs=3
Project Controls Admin – Temp,Stork,Aberdeen,45-50,"TemporaryPROJECT CONTROLS ADMIN – TEMP
JOB DESCRIPTION
Job Description For Project Controls Administrator

To assist in the deliver key project variables related to all aspects of Project Controls. Ensuring that the project controls department leads and supports the corporate business objectives in line with company standards.

Tasks And Responsibilities As Project Controls Administrator

Commercial:

Assist with the administration of contract cost estimates, purchase orders and requisitions.
Financial:

Initiate invoicing of customers in line with commercial and contractual arrangements
Assist the Project Lead to ensure that sales invoices are settled in line with contractual arrangements.
Communication, Interfacing & Supevision:

Effectively communicate and build relationships with other relevant departments to raise commercial awareness.
Lead by example.
Process & Procedures

Ensuring all work carried out within the business unit is in accordance with Company HSEQ procedures.
Participate in the review of existing departmental procedures and delivering where necessary new proposals.
JOB REQUIREMENTS
Requirements For Project Controls Administrator

At Stork we attach great value to the key competences of our employees. We expect you always give safety the highest priority and that you are strongly working together with others. You are a specialist in your area of expertise and you have a proactive and entrepreneurial attitude.

Specific Requirements For Project Controls Administrator

Education & Experience

Experience in related position is preferrable.


WORKING CONDITIONS
Stork is a dynamic, international and rapidly growing organization. We offer a highly competitive salary and an extensive package of fringe benefits. Next to this we attach great value to personal development of our employees and therefore offer a wide range of education programs and have a strong focus on accompaniment and knowledge sharing and transfer.

Location: Dyce, Aberdeen
Hours: 37.5 hours per week
Contract: Temp until 03/05/2019


COMPANY INFORMATION
Stork, a Fluor company, is an expert provider of maintenance, modification and asset integrity services to the global oil and gas, chemicals and process, metals and mining, power, and manufacturing industries. We are dedicated to improving asset performance, safety and cost efficiency for our Clients throughout the complete asset life cycle.

With a team of 19,000 employees in over 100 countries, we serve more than 4,000 Clients across 6 continents.

Stork is dedicated to reducing risk, assuring safety and reducing environment impact through our award-winning value driven HSEQ platform; REACH Beyond Zero. Whilst safety will always remain our core value, the platform not only communicates on Safety but also on Health, Environmental and Quality issues too. We are committed to our transparent, employee-led approach to HSEQ.

Our culture and people:
As a knowledge-based integrity management company our people are our greatest asset. Our culture and shared values underpins everything we do. By caring for the development of our people, who are proud to contribute to Stork’s high performance culture, we provide a positive, dynamic and supportive working environment. In turn, this aids in the enhancement of our employees’ personal development as well as career opportunities and advancement. As part of our team we will strive to help you achieve your greatest potential.


CONTACT
Are you the person we're looking for? We're looking forward to receiving your CV and motivation letter. For more information please contact the recruiter on Careers@stork.com

JOB DESCRIPTION
Job Description For Project Controls Administrator

To assist in the deliver key project variables related to all aspects of Project Controls. Ensuring that the project controls department leads and supports the corporate business objectives in line with company standards.

Tasks And Responsibilities As Project Controls Administrator

Commercial:

Assist with the administration of contract cost estimates, purchase orders and requisitions.
Financial:

Initiate invoicing of customers in line with commercial and contractual arrangements
Assist the Project Lead to ensure that sales invoices are settled in line with contractual arrangements.
Communication, Interfacing & Supevision:

Effectively communicate and build relationships with other relevant departments to raise commercial awareness.
Lead by example.
Process & Procedures

Ensuring all work carried out within the business unit is in accordance with Company HSEQ procedures.
Participate in the review of existing departmental procedures and delivering where necessary new proposals.
JOB REQUIREMENTS
Requirements For Project Controls Administrator

At Stork we attach great value to the key competences of our employees. We expect you always give safety the highest priority and that you are strongly working together with others. You are a specialist in your area of expertise and you have a proactive and entrepreneurial attitude.

Specific Requirements For Project Controls Administrator

Education & Experience

Experience in related position is preferrable.


WORKING CONDITIONS
Stork is a dynamic, international and rapidly growing organization.",UK,/rc/clk?jk=6ebe12fa99ada583&fccid=8b5a5b40a8538d2e&vjs=3
